"","connector","x","y","z","skid1","skid2"
"11747",6995932,56996.137,79285.9,28120,1654326,2213694
"11748",6995935,57084.285,78523.15,28120,1786438,2213694
"11749",6998427,39954.44,67298.59,22000,1975673,1339675
"11750",6998442,39525.586,56962.973,22000,1410921,1975673
"11751",6998446,42537.86,71760.2,19960,1683137,1339675
"11752",7002428,108189.34,105766.22,55960,1593111,1836931
"11753",7002429,107900.31,105554.234,55960,1836931,1584240
"11754",7002430,107306.37,104943.22,55960,1352604,1836931
"11755",7002432,50832.633,117084.8,53960,1592834,1837085
"11756",7002439,70081.34,98303.47,23920,1729206,1839791
"11757",7002442,59285.55,113895.695,26000,1278649,1840188
"11758",7002471,93144.766,77656.85,29840,1527987,1840340
"11759",7002477,92386.63,74663.484,29840,1358976,1840340
"11760",7002488,57181.367,106517.08,31000,1712615,1840889
"11761",7002493,61584.332,103479.55,29000,1568526,1840889
"11762",7002494,61435.566,103652.24,29000,1840889,1568526
"11763",7002499,58889.13,105132.35,29160,1420398,1840889
"11764",7002510,91237.75,102158.234,32000,1568903,1841071
"11765",7002516,98975.445,56883.527,38000,1842837,1583499
"11766",7002519,99133.84,57840.414,38000,1842837,1405261
"11767",7002526,98519,67284.836,38000,1405261,1842721
"11768",7002529,98653.77,63524.574,38000,1405261,1842837
"11769",7002539,97347.04,106815.6,38000,1277150,1842892
"11770",7002545,97070.055,105354.83,38000,1842892,1416066
"11771",7002549,96557.57,104789.445,38000,1546352,1842892
"11772",7002556,95997.766,103570.52,38000,1411919,1842892
"11773",7002557,95733.37,103685.77,38000,1546352,1842892
"11774",7002558,95801.37,103405.164,38000,1842892,1546352
"11775",7002566,76381.664,96298.04,96000,1645907,1843289
"11776",7002578,53324.44,100791.6,36000,1621126,1843603
"11777",7002583,48513.973,113174.336,46240,1204373,1844121
"11778",7002584,48527.504,113453.72,46240,1844121,1204373
"11779",7002594,37879.543,72172.22,40000,1595786,1848205
"11780",7002598,37559.344,74567.72,40000,2234132,1848205
"11781",7002688,38121.043,74864.92,39000,1593671,2234132
"11782",7002761,63674.64,111288.99,43960,1650416,1851060
"11783",7002762,64055.203,112984.03,43960,1651294,1851060
"11784",7002766,73124.89,128267.58,49960,1970923,1851700
"11785",7002768,100735.94,67987.164,50000,1559104,1851852
"11786",7002770,101187.17,58085.1,50000,1273836,1851859
"11787",7002779,91297.6,92049.55,52000,1653450,1852465
"11788",7002784,105330.91,93063.99,52000,1593111,1852478
"11789",7002789,52003.32,109743.45,52000,1404314,1852553
"11790",7002791,50134.168,110464.23,51000,1603943,1852553
"11791",7002797,51169.707,111592.78,51000,1603906,1852553
"11792",7002801,107151.086,105534.93,52000,1546380,1852659
"11793",7002804,108157.15,106034.22,52000,1852654,1852659
"11794",7002814,106835.39,57240.895,54000,1339712,1852757
